,Address,Price,Beds,Contact
0,225 N Columbus Dr Chicago  60601,"$1,563 - $4,541",Studio - 2 Br,866-933-3491
1,850 N Lake Shore Dr Chicago  60611,"$1,990 - $12,000",Studio - 3 Br,312-462-1903
2,360 E South Water St Chicago  60601,"$1,523 - $3,934",Studio - 2 Br,312-288-8069
3,200 E Illinois St Chicago  60611,"$2,186 - $9,700",Studio - 4 Br,773-273-6395
4,71 W Hubbard St Chicago  60654,"$1,864 - $7,362",Studio - 3 Br,312-219-9513
5,400 E South Water St Chicago  60601,"$1,640 - $3,802",Studio - 2 Br,866-599-7868
6,845 N State St Chicago  60610,"$1,552 - $4,005",Studio - 2 Br,312-265-3057
7,345 E Wacker Dr Chicago  60601,"$1,427 - $4,306",Studio - 3 Br,773-904-9571
8,1130 S Michigan Ave Chicago  60605,"$1,388 - $3,534",Studio - 2 Br,866-610-8317
9,1350 N Lake Shore Dr Chicago  60610,"$1,191 - $2,806",Studio - 2 Br,312-462-0403
10,425 W Surf St Chicago  60657,"$1,148 - $1,893",Studio - 1 Br,877-349-2650
11,5140 S Hyde Park Blvd Chicago  60615,"$1,169 - $4,782",1-3 Br,773-432-4830
12,4726-4740 S Woodlawn Ave Chicago  60615,"$840 - $1,501",Studio - 2 Br,855-254-1372
13,850 N State St Chicago  60610,"$1,339 - $2,621",1-2 Br,312-646-4941
14,445 E Illinois St Chicago  60611,"$1,815 - $4,925",Studio - 2 Br,844-274-9788
15,805 N La Salle Dr Chicago  60610,"$1,685 - $4,950",Studio - 2 Br,872-206-3038
16,220 W Illinois St Chicago  60610,"$2,150 - $4,090",Studio - 2 Br,773-492-6656
17,340 E North Water St Chicago  60611,"$1,799 - $14,899",Studio - 3 Br,844-402-4750
18,355 E Ohio St Chicago  60611,"$1,593 - $6,422",Studio - 3 Br,312-646-4953
19,922 W Washington Blvd Chicago  60607,"$1,565 - $5,225",Studio - 3 Br,773-358-4744
20,123 N Des Plaines St Chicago  60661,"$2,010 - $4,560",Studio - 3 Br,312-957-4484
21,5009 N Sheridan Rd Chicago  60640,"$1,200 - $2,400",Studio - 2 Br,773-649-5501
22,601 W Jackson Blvd Chicago  60661,"$1,452 - $4,413",Studio - 2 Br,844-443-8919
