,Address,Price,Beds,Contact
0,11 S Green St Chicago  60607,"$1,675 - $3,335",Studio - 2 Br,844-417-3242
1,37 W Van Buren St Chicago  60605,"$1,899 - $1,999",Studio - 4 Br,844-250-5735
2,220 W Illinois St Chicago  60654,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
3,123 N Des Plaines St Chicago  60661,"$2,389 - $5,377",Studio - 3 Br,312-957-4484
4,765 W Adams St Chicago  60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
5,500 N Lake Shore Dr Chicago  60611,"$2,285 - $3,790",Studio - 2 Br,312-548-6742
6,840 W Blackhawk St Chicago  60642,"$1,687 - $3,976",Studio - 2 Br,866-958-8596
7,400 N McClurg Ct Chicago  60611,"$1,845 - $2,926",Studio - 2 Br,844-482-6861
8,200 E Chestnut St Chicago  60611,"$1,218 - $7,177",Studio - 2 Br,708-315-6519
9,401-465 E Illinois St Chicago  60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
10,850 N Lake Shore Dr Chicago  60611,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
11,200 E Illinois St Chicago  60611,"$1,924 - $12,878",Studio - 4 Br,773-273-6395
12,161 W Kinzie St Chicago  60654,"$1,840 - $6,337",Studio - 2 Br,844-892-1659
13,555 W Madison St Chicago  60661,"$1,315 - $4,015",Studio - 2 Br,888-692-0211
14,1 W Superior St Chicago  60654,"$1,682 - $4,480",Studio - 2 Br,312-219-9516
15,345 E Wacker Dr Chicago  60601,"$1,633 - $4,688",Studio - 3 Br,773-904-9571
16,910 W Huron St Chicago  60642,"$2,410 - $3,410",Studio - 4 Br,844-741-2982
17,360 E South Water St Chicago  60601,"$1,755 - $3,884",Studio - 2 Br,312-288-8069
18,3402-3453 N Elaine Pl Chicago  60657,"$1,672 - $3,488",1-3 Br,844-889-9247
19,71 W Hubbard St Chicago  60654,"$1,787 - $6,495",Studio - 3 Br,312-219-9513
20,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
21,1350 N Lake Shore Dr Chicago  60610,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
22,805 N LaSalle Dr Chicago  60610,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
