,Address,Price,Beds,Contact
0,"808 W Van Buren St, Chicago, IL ","$1,945 - 3,600",Studio - 2 Bed,844-694-6517
1,"169 W Huron St, Chicago, IL ","$1,835 - 5,577",Studio - 2 Bed,847-979-4467
2,"5527-5454 S Everett Ave, Chicago, IL ","$1,222 - 2,029",Studio - 2 Bed,844-285-1275
3,"1 W Superior St, Chicago, IL ","$1,532 - 3,512",Studio - 2 Bed,312-219-9516
4,"215 W Lake St, Chicago, IL ","$2,055 - 5,585",Studio - 3 Bed,224-220-3563
5,"420 E Ohio St, Chicago, IL ","$1,740 - 4,320",Studio - 3 Bed,888-380-0393
6,"500 N Milwaukee Ave, Chicago, IL ","$1,647 - 6,420",Studio - 3 Bed,312-964-3768
7,"200 N Michigan Ave, Chicago, IL ","$1,917 - 4,793",Studio - 2 Bed,844-655-0458
8,"306 Jefferson St, Chicago, IL ","$1,636 - 4,643",Studio - 2 Bed,844-443-8919
9,"200 E Illinois St, Chicago, IL ","$1,990 - 10,325",Studio - 3 Bed,773-273-6395
10,"727 W Madison St, Chicago, IL ","$1,735 - 7,585",Studio - 3 Bed,844-250-6352
11,"465 N Park Dr, Chicago, IL ","$1,710 - 13,000",Studio - 3 Bed,844-562-1138
12,"720 S Wells St, Chicago, IL ","$1,625 - 7,589",Studio - 3 Bed,855-394-3893
13,"3402-3453 N Elaine Pl, Chicago, IL ","$1,475 - 3,250",1-3 Bed,844-889-9247
14,"1209 W Arthur Ave, Chicago, IL ","$1,375 - 1,667",Studio - 1 Bed,773-649-4071
15,"65 E Scott St, Chicago, IL ","$1,299 - 2,500",Studio - 2 Bed,312-638-2436
16,"2851 S Martin Luther King Dr, Chicago, IL ","$838 - 6,682",Studio - 3 Bed,844-827-1869
17,"555 W Madison St, Chicago, IL ","$1,420 - 3,570",Studio - 2 Bed,888-692-0211
18,"175 N Harbor Dr, Chicago, IL ","$1,663 - 5,499",Studio - 3 Bed,888-767-6014
19,"1350 N Wells St, Chicago, IL ","$1,590 - 3,050",Studio - 2 Bed,866-854-1757
20,"4334 N Hazel St, Chicago, IL ","$1,425 - 2,560",Studio - 2 Bed,888-769-6192
21,"320 W Illinois St, Chicago, IL ","$1,420 - 3,500",Studio - 2 Bed,844-402-3801
22,"1350 N Lake Shore Dr, Chicago, IL ","$1,295 - 10,269",Studio - 2 Bed,844-740-9960
