,Address,Price,Beds,Contact
0,500 N Milwaukee Ave Chicago  60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
1,1 W Superior St Chicago  60654,"$1,803 - $5,240",Studio - 2 Br,312-219-9516
2,840 W Blackhawk St Chicago  60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
3,200 E Illinois St Chicago  60611,"$1,919 - $12,878",Studio - 3 Br,773-273-6395
4,625 W Division St Chicago  60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago  60654,"$2,707 - $5,796",1-3 Br,844-312-7045
6,601 W Jackson Blvd Chicago  60661,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
7,420 E Ohio St Chicago  60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
8,25 W Randolph St Chicago  60601,"$1,871 - $7,987",Studio - 3 Br,844-808-9214
9,555 W Kinzie St Chicago  60654,"$1,554 - $5,735",Studio - 3 Br,312-288-8972
10,400 E South Water St Chicago  60601,"$1,968 - $4,089",Studio - 2 Br,866-599-7868
11,360 E South Water St Chicago  60601,"$1,777 - $5,185",Studio - 2 Br,312-288-8069
12,343 W Wolf Point Plz Chicago  60654,"$1,918 - $10,900",Studio - 3 Br,844-811-0188
13,345 E Wacker Dr Chicago  60601,"$1,737 - $4,901",Studio - 3 Br,773-904-9571
14,225 N Columbus Dr Chicago  60601,"$2,095 - $5,462",Studio - 2 Br,866-933-3491
15,730 W Couch Pl Chicago  60661,"$1,750 - $5,550",Studio - 3 Br,844-294-8524
16,5140 S Hyde Park Blvd Chicago  60615,"$1,572 - $6,488",1-3 Br,773-432-4830
17,1001 S State St Chicago  60605,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
18,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
19,347 W Chestnut St Chicago  60610,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
20,161 W Kinzie St Chicago  60654,"$1,990 - $6,337",Studio - 2 Br,844-892-1659
21,910 W Huron St Chicago  60642,Call for Rent,Studio - 4 Br,844-741-2982
22,11 S Green St Chicago  60607,"$1,539 - $3,390",Studio - 2 Br,844-417-3242
23,400 N McClurg Ct Chicago  60611,"$1,593 - $2,391",Studio - 2 Br,844-482-6861
24,71 W Hubbard St Chicago  60654,"$1,919 - $6,535",Studio - 3 Br,312-219-9513
25,60638 About Us Chicago ,,,
