,Address,Price,Beds,Contact
0,1 W Superior St Chicago  60654,"$1,618 - $4,944",Studio - 2 Br,312-219-9516
1,601 W Jackson Blvd Chicago  60661,"$1,524 - $4,714",Studio - 2 Br,844-443-8919
2,5140 S Hyde Park Blvd Chicago  60615,"$1,399 - $5,294",1-3 Br,773-432-4830
3,200 E Chestnut St Chicago  60611,"$1,327 - $8,181",Studio - 2 Br,708-315-6519
4,71 W Hubbard St Chicago  60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
5,850 S Clark St Chicago  60605,"$1,796 - $3,579",Studio - 2 Br,312-462-1938
6,555 W Madison St Chicago  60661,"$1,350 - $7,760",Studio - 2 Br,888-692-0211
7,8 W Chestnut St Chicago  60610,"$1,600 - $2,709",1-2 Br,312-646-4941
8,1350 N Lake Shore Dr Chicago  60610,"$1,272 - $2,998",Studio - 2 Br,312-462-0403
9,1130 S Michigan Ave Chicago  60605,"$1,412 - $3,696",Studio - 2 Br,866-610-8317
10,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
11,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
12,161 W Kinzie St Chicago  60654,"$1,695 - $6,337",Studio - 2 Br,844-892-1659
13,910 W Huron St Chicago  60642,"$2,000 - $2,935",Studio - 4 Br,844-741-2982
14,400 N McClurg Ct Chicago  60611,"$1,758 - $2,357",Studio - 2 Br,844-482-6861
15,400 E South Water St Chicago  60601,"$1,710 - $2,634",Studio - 2 Br,866-599-7868
16,360 E South Water St Chicago  60601,"$1,741 - $5,096",Studio - 2 Br,312-288-8069
17,343 W Wolf Point Plz Chicago  60654,"$1,799 - $10,617",Studio - 3 Br,844-811-0188
18,225 N Columbus Dr Chicago  60601,"$1,654 - $5,359",Studio - 2 Br,866-933-3491
19,345 E Wacker Dr Chicago  60601,"$1,651 - $3,716",Studio - 3 Br,773-904-9571
20,555 W Kinzie St Chicago  60654,"$1,608 - $4,395",Studio - 3 Br,312-288-8972
21,123 N Des Plaines St Chicago  60661,"$2,045 - $5,847",Studio - 3 Br,312-957-4484
22,840 W Blackhawk St Chicago  60642,"$1,801 - $4,015",Studio - 2 Br,866-958-8596
