,Address,Price,Beds,Contact
0,625 W Division St Chicago  60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
1,707 N Wells St Chicago  60654,"$2,740 - $5,621",1-3 Br,844-837-3913
2,1 W Superior St Chicago  60654,"$1,585 - $4,954",Studio - 2 Br,312-219-9516
3,840 W Blackhawk St Chicago  60642,"$1,794 - $4,015",Studio - 2 Br,866-958-8596
4,220 W Illinois St Chicago  60654,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
5,200 E Illinois St Chicago  60611,"$2,135 - $12,878",Studio - 4 Br,773-273-6395
6,601 W Jackson Blvd Chicago  60661,"$1,737 - $4,098",Studio - 2 Br,844-443-8919
7,4448 S State St Chicago  60609,Call for Rent,1-4 Br,844-570-2753
8,400 E South Water St Chicago  60601,"$1,736 - $2,670",Studio - 2 Br,866-599-7868
9,360 E South Water St Chicago  60601,"$1,880 - $5,115",Studio - 2 Br,312-288-8069
10,343 W Wolf Point Plz Chicago  60654,"$1,791 - $10,617",Studio - 3 Br,844-811-0188
11,225 N Columbus Dr Chicago  60601,"$1,633 - $5,428",Studio - 2 Br,866-933-3491
12,345 E Wacker Dr Chicago  60601,"$1,483 - $3,670",Studio - 3 Br,773-904-9571
13,555 W Kinzie St Chicago  60654,"$1,626 - $4,382",Studio - 3 Br,312-288-8972
14,123 N Des Plaines St Chicago  60661,"$2,045 - $5,847",Studio - 3 Br,312-957-4484
15,500 N Lake Shore Dr Chicago  60611,"$1,805 - $4,295",Studio - 2 Br,312-548-6742
16,5140 S Hyde Park Blvd Chicago  60615,"$1,399 - $5,294",1-3 Br,773-432-4830
17,200 E Chestnut St Chicago  60611,"$1,271 - $7,591",Studio - 2 Br,708-315-6519
18,71 W Hubbard St Chicago  60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
19,850 S Clark St Chicago  60605,"$1,792 - $3,596",Studio - 2 Br,312-462-1938
20,555 W Madison St Chicago  60661,"$1,380 - $7,740",Studio - 2 Br,888-692-0211
21,8 W Chestnut St Chicago  60610,"$1,629 - $2,709",1-2 Br,312-646-4941
22,1350 N Lake Shore Dr Chicago  60610,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
23,60638 About Us Chicago ,,,
