,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago  60661,"$1,524 - $4,514",Studio - 2 Br,844-443-8919
1,5140 S Hyde Park Blvd Chicago  60615,"$1,462 - $4,081",1-3 Br,773-432-4830
2,500 N Lake Shore Dr Chicago  60611,"$1,890 - $2,735",Studio - 1 Br,312-548-6742
3,200 E Chestnut St Chicago  60611,"$1,336 - $9,151",Studio - 2 Br,708-315-6519
4,71 W Hubbard St Chicago  60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
5,850 S Clark St Chicago  60605,"$1,788 - $3,563",Studio - 2 Br,312-462-1938
6,8 W Chestnut St Chicago  60610,"$1,600 - $2,709",1-2 Br,312-646-4941
7,555 W Madison St Chicago  60661,"$1,325 - $4,065",Studio - 2 Br,888-692-0211
8,1350 N Lake Shore Dr Chicago  60610,"$1,409 - $2,998",Studio - 2 Br,312-462-0403
9,1130 S Michigan Ave Chicago  60605,"$1,380 - $3,681",Studio - 2 Br,866-610-8317
10,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
11,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
12,910 W Huron St Chicago  60642,"$1,920 - $3,880",Studio - 4 Br,844-741-2982
13,161 W Kinzie St Chicago  60654,"$1,745 - $6,337",Studio - 2 Br,844-892-1659
14,400 N McClurg Ct Chicago  60611,"$1,746 - $2,968",Studio - 2 Br,844-482-6861
15,1 W Superior St Chicago  60654,"$1,727 - $3,602",Studio - 2 Br,312-219-9516
16,840 W Blackhawk St Chicago  60642,"$1,849 - $4,100",Studio - 2 Br,866-958-8596
17,200 E Illinois St Chicago  60611,"$2,161 - $12,878",Studio - 4 Br,773-273-6395
18,625 W Division St Chicago  60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
19,707 N Wells St Chicago  60654,"$2,760 - $5,621",1-3 Br,844-837-3913
20,37 W Van Buren St Chicago  60605,"$924 - $2,145",Studio - 4 Br,844-250-5735
21,400 E South Water St Chicago  60601,"$1,715 - $4,163",Studio - 2 Br,866-599-7868
22,360 E South Water St Chicago  60601,"$1,605 - $4,754",Studio - 2 Br,312-288-8069
