,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago 60661,"$1,620 - $4,730",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago 60611,"$1,575 - $4,160",Studio - 3 Br,888-380-0393
2,200 E Chestnut St Chicago 60611,"$1,384 - $9,050",Studio - 2 Br,708-315-6519
3,71 W Hubbard St Chicago 60654,"$1,867 - $6,483",Studio - 3 Br,312-219-9513
4,1209 W Arthur Ave Chicago 60626,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
5,850 S Clark St Chicago 60605,"$1,749 - $3,391",Studio - 2 Br,312-462-1938
6,545 N McClurg Ct Chicago 60611,"$1,766 - $8,805",Studio - 3 Br,844-382-0901
7,555 W Madison St Chicago 60661,"$1,420 - $4,815",Studio - 2 Br,888-692-0211
8,8 W Chestnut St Chicago 60610,"$1,575 - $2,709",1-2 Br,312-646-4941
9,N Lake Shore Dr Chicago 60610,"$1,272 - $3,146",Studio - 2 Br,312-462-0403
10,1130 S Michigan Ave Chicago 60605,"$1,506 - $3,506",Studio - 2 Br,866-610-8317
11,1001 S State St Chicago 60605,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
12,25 W Randolph St Chicago 60602,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
13,910 W Huron St Chicago 60642,"$2,070 - $2,975",Studio - 4 Br,844-741-2982
14,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
15,400 N McClurg Ct Chicago 60611,"$1,911 - $2,583",Studio - 2 Br,844-482-6861
16,161 W Kinzie St Chicago 60654,"$1,935 - $6,337",Studio - 2 Br,844-892-1659
17,S LAKE SHORE Dr Chicago 60615,"$1,320 - $2,545",Studio - 3 Br,866-611-2494
18,5454 S Shore Dr Chicago 60615,"$1,655 - $3,775",1-3 Br,844-815-4511
19,4726-4740 S Woodlawn Ave Chicago 60615,"$805 - $1,320",Studio - 2 Br,844-265-5221
20,500 N Milwaukee Ave Chicago 60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
21,1 W Superior St Chicago 60654,"$1,566 - $4,166",Studio - 2 Br,312-219-9516
22,200 E Illinois St Chicago 60611,"$2,182 - $12,878",Studio - 3 Br,773-273-6395
23,707 N Wells St Chicago 60654,"$2,707 - $5,796",1-3 Br,844-837-3913
