,Address,Price,Beds,Contact
0,220 W Illinois St Chicago 60654,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
1,1 W Superior St Chicago 60654,"$1,585 - $4,946",Studio - 2 Br,312-219-9516
2,840 W Blackhawk St Chicago 60642,"$1,846 - $4,080",Studio - 2 Br,866-958-8596
3,200 E Illinois St Chicago 60611,"$2,053 - $12,878",Studio - 4 Br,773-273-6395
4,625 W Division St Chicago 60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago 60654,"$2,740 - $5,621",1-3 Br,844-837-3913
6,E South Water St Chicago 60601,"$1,736 - $2,640",Studio - 2 Br,866-599-7868
7,E South Water St Chicago 60601,"$1,880 - $5,115",Studio - 2 Br,312-288-8069
8,W Wolf Point Plz Chicago 60654,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
9,225 N Columbus Dr Chicago 60601,"$1,611 - $5,428",Studio - 2 Br,866-933-3491
10,345 E Wacker Dr Chicago 60601,"$1,434 - $3,583",Studio - 3 Br,773-904-9571
11,555 W Kinzie St Chicago 60654,"$1,619 - $4,406",Studio - 3 Br,312-288-8972
12,N Des Plaines St Chicago 60661,"$2,045 - $5,988",Studio - 3 Br,312-957-4484
13,601 W Jackson Blvd Chicago 60661,"$1,740 - $4,098",Studio - 2 Br,844-443-8919
14,N Lake Shore Dr Chicago 60611,"$1,570 - $4,260",Studio - 2 Br,312-548-6742
15,S Hyde Park Blvd Chicago 60615,"$1,399 - $5,294",1-3 Br,773-432-4830
16,200 E Chestnut St Chicago 60611,"$1,294 - $7,591",Studio - 2 Br,708-315-6519
17,71 W Hubbard St Chicago 60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
18,850 S Clark St Chicago 60605,"$1,392 - $3,196",Studio - 2 Br,312-462-1938
19,555 W Madison St Chicago 60661,"$1,375 - $7,740",Studio - 2 Br,888-692-0211
20,8 W Chestnut St Chicago 60610,"$1,629 - $2,699",1-2 Br,312-646-4941
21,1130 S Michigan Ave Chicago 60605,"$1,437 - $3,665",Studio - 2 Br,866-610-8317
22,N Lake Shore Dr Chicago 60610,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
23,25 W Randolph St Chicago 60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
24,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
