,Address,Price,Beds,Contact
0,5454 S Shore Dr Chicago 60615,"$1,580 - $4,500",1-3 Br,844-815-4511
1,5105 S Harper Ave Chicago 60615,"$1,803 - $4,655",1-3 Br,844-867-6288
2,S LAKE SHORE Dr Chicago 60615,"$1,376 - $3,669",Studio - 3 Br,866-611-2494
3,E Hyde Park Blvd Chicago 60615,"$1,174 - $2,360",Studio - 2 Br,844-761-9442
4,1 W Superior St Chicago 60654,"$1,723 - $4,964",Studio - 2 Br,312-219-9516
5,840 W Blackhawk St Chicago 60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
6,200 E Illinois St Chicago 60611,"$1,853 - $12,878",Studio - 3 Br,773-273-6395
7,500 N Milwaukee Ave Chicago 60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
8,625 W Division St Chicago 60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
9,707 N Wells St Chicago 60654,"$2,707 - $5,796",1-3 Br,844-312-7045
10,601 W Jackson Blvd Chicago 60661,"$1,305 - $4,525",Studio - 2 Br,844-443-8919
11,420 E Ohio St Chicago 60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
12,730 W Couch Pl Chicago 60661,"$1,750 - $5,250",Studio - 3 Br,844-294-8524
13,11 S Green St Chicago 60607,"$1,539 - $3,390",Studio - 2 Br,844-417-3242
14,W Wolf Point Plz Chicago 60654,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
15,345 E Wacker Dr Chicago 60601,"$1,785 - $4,950",Studio - 3 Br,773-904-9571
16,E South Water St Chicago 60601,"$1,691 - $4,118",Studio - 2 Br,866-599-7868
17,E South Water St Chicago 60601,"$1,617 - $5,248",Studio - 2 Br,312-288-8069
18,225 N Columbus Dr Chicago 60601,"$2,000 - $5,614",Studio - 2 Br,866-933-3491
19,555 W Kinzie St Chicago 60654,"$1,514 - $5,735",Studio - 3 Br,312-288-8972
20,N Des Plaines St Chicago 60661,"$1,983 - $5,366",Studio - 3 Br,312-957-4484
21,S Hyde Park Blvd Chicago 60615,"$1,542 - $6,386",1-3 Br,773-432-4830
22,71 W Hubbard St Chicago 60654,"$1,870 - $6,535",Studio - 3 Br,312-219-9513
23,850 S Clark St Chicago 60605,"$1,726 - $3,420",Studio - 2 Br,312-462-1938
