,Address,Price,Beds,Contact
0,1 W Superior St Chicago 60654,"$1,628 - $4,920",Studio - 2 Br,312-219-9516
1,601 W Jackson Blvd Chicago 60661,"$1,524 - $4,714",Studio - 2 Br,844-443-8919
2,E South Water St Chicago 60601,"$1,710 - $2,570",Studio - 2 Br,866-599-7868
3,W Wolf Point Plz Chicago 60654,"$1,799 - $10,617",Studio - 3 Br,844-811-0188
4,345 E Wacker Dr Chicago 60601,"$1,651 - $3,682",Studio - 3 Br,773-904-9571
5,E South Water St Chicago 60601,"$1,703 - $4,976",Studio - 2 Br,312-288-8069
6,225 N Columbus Dr Chicago 60601,"$1,620 - $5,335",Studio - 2 Br,866-933-3491
7,555 W Kinzie St Chicago 60654,"$1,481 - $4,354",Studio - 3 Br,312-288-8972
8,N Des Plaines St Chicago 60661,"$1,962 - $5,847",Studio - 3 Br,312-957-4484
9,S Hyde Park Blvd Chicago 60615,"$1,399 - $5,294",1-3 Br,773-432-4830
10,200 E Chestnut St Chicago 60611,"$1,327 - $8,181",Studio - 2 Br,708-315-6519
11,850 S Clark St Chicago 60605,"$1,796 - $3,579",Studio - 2 Br,312-462-1938
12,71 W Hubbard St Chicago 60654,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
13,555 W Madison St Chicago 60661,"$1,255 - $7,760",Studio - 2 Br,888-692-0211
14,8 W Chestnut St Chicago 60610,"$1,600 - $2,709",1-2 Br,312-646-4941
15,1130 S Michigan Ave Chicago 60605,"$1,412 - $3,696",Studio - 2 Br,866-610-8317
16,N Lake Shore Dr Chicago 60610,"$1,272 - $2,998",Studio - 2 Br,312-462-0403
17,25 W Randolph St Chicago 60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
18,1164-1212 W Madison St Chicago 60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
19,910 W Huron St Chicago 60642,"$2,000 - $2,940",Studio - 4 Br,844-741-2982
20,400 N McClurg Ct Chicago 60611,"$1,758 - $2,314",Studio - 2 Br,844-482-6861
21,161 W Kinzie St Chicago 60654,"$1,695 - $6,337",Studio - 2 Br,844-892-1659
22,1642-1660 E 56th St Chicago 60637,"$1,230 - $2,194",Studio - 2 Br,844-406-5855
23,840 W Blackhawk St Chicago 60642,"$1,801 - $4,015",Studio - 2 Br,866-958-8596
