,Address,Price,Beds,Contact
0,"833 W Buena Ave, Chicago, IL ","$1,290 - 1,880",,888-236-7009
1,"2701 S Indiana Ave, Chicago, IL ","$942 - 1,645",,312-985-0214
2,"123 N Desplaines St, Chicago, IL ","$1,870 - 5,666",,312-957-4484
3,"5140 S Hyde Park Blvd, Chicago, IL ","$1,309 - 6,310",,773-432-4830
4,"5527-5537 S Everett Ave, Chicago, IL ","$1,020 - 1,850",,844-285-1275
5,"601 W Jackson Blvd, Chicago, IL ","$1,702 - 4,724",,844-443-8919
6,"1 W Superior St, Chicago, IL ","$1,610 - 3,987",,312-219-9516
7,"5020-5050 S LAKE SHORE Dr, Chicago, IL ","$1,204 - 7,951",,866-611-2494
8,"5454 S Shore Dr, Chicago, IL ","$1,502 - 6,213",,844-815-4511
9,"5105 S Harper Ave, Chicago, IL ","$2,198 - 4,964",,844-867-6288
10,"1606 E Hyde Park Blvd, Chicago, IL ","$1,207 - 2,803",,844-761-9442
11,"4726-4740 S Woodlawn Ave, Chicago, IL ","$785 - 2,322",,844-265-5221
12,"1209 W Arthur Ave, Chicago, IL ","$1,545 - 2,575",,773-649-4071
13,"347 W Chestnut St, Chicago, IL ","$1,765 - 6,500",,312-702-1232
14,"765 W Adams St, Chicago, IL ","$1,692 - 7,900",,773-675-1174
15,"340 E North Water St, Chicago, IL ","$2,486 - 8,797",,844-402-4750
16,"11 S Green St, Chicago, IL ","$1,550 - 4,111",,844-417-3242
17,"365 N Halsted St, Chicago, IL ","$1,662 - 8,966",,844-368-4250
18,"1164-1212 W Madison St, Chicago, IL ","$1,875 - 3,250",,844-737-7559
19,"161 W Kinzie St, Chicago, IL ","$2,005 - 6,545",,844-892-1659
20,"910 W Huron St, Chicago, IL ","$2,015 - 3,345",,844-741-2982
21,"400 N McClurg Ct, Chicago, IL ","$1,870 - 2,805",,844-482-6861
22,"1890 Maple St, Chicago, IL ","$1,836 - 6,024",,224-420-9126
23,"71 W Hubbard St, Chicago, IL ","$1,808 - 6,413",,312-219-9513
