,Address,Price,Beds,Contact
0,1350 N Lake Shore Dr Chicago  60610,"$1,236 - $3,078",Studio - 2 Br,312-462-0403
1,1130 S Michigan Ave Chicago  60605,"$1,459 - $5,707",Studio - 2 Br,866-610-8317
2,25 W Randolph St Chicago  60601,"$1,871 - $7,987",Studio - 3 Br,844-808-9214
3,1001 S State St Chicago  60605,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
4,420 E Ohio St Chicago  60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
5,347 W Chestnut St Chicago  60610,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
6,910 W Huron St Chicago  60642,Call for Rent,Studio - 4 Br,844-741-2982
7,11 S Green St Chicago  60607,"$1,539 - $3,390",Studio - 2 Br,844-417-3242
8,5454 S Shore Dr Chicago  60615,"$1,580 - $4,465",1-3 Br,844-815-4511
9,5105 S Harper Ave Chicago  60615,"$1,803 - $4,655",1-3 Br,844-867-6288
10,5020-5050 S LAKE SHORE Dr Chicago  60615,"$1,370 - $3,669",Studio - 3 Br,866-611-2494
11,1606 E Hyde Park Blvd Chicago  60615,"$1,199 - $2,336",Studio - 2 Br,844-761-9442
12,500 N Milwaukee Ave Chicago  60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
13,625 W Division St Chicago  60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
14,707 N Wells St Chicago  60654,"$2,707 - $5,796",1-3 Br,844-312-7045
15,1 W Superior St Chicago  60654,"$1,723 - $5,065",Studio - 2 Br,312-219-9516
16,840 W Blackhawk St Chicago  60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
17,200 E Illinois St Chicago  60611,"$1,876 - $12,878",Studio - 3 Br,773-273-6395
18,601 W Jackson Blvd Chicago  60661,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
19,1333 S Wabash Ave Chicago  60605,"$1,815 - $3,800",1-2 Br,844-845-5098
20,5140 S Hyde Park Blvd Chicago  60615,"$1,542 - $6,386",1-3 Br,773-432-4830
21,1890 Maple St Chicago  60201,"$1,664 - $5,000",Studio - 3 Br,224-420-9126
22,200 E Chestnut St Chicago  60611,"$1,500 - $3,582",Studio - 2 Br,708-315-6519
23,1209 W Arthur Ave Chicago  60626,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
