,Address,Price,Beds,Contact
0,10 Apartments in Chicago 777,"$1,625 - 4,940",Studio - 3 Bed,
1,"2 E 8th St, Chicago, IL ","$1,625 - 4,940",Studio - 3 Bed,855-401-6653
2,"343 S Dearborn St, Chicago, IL ","$1,570 - 3,670",Studio - 2 Bed,844-223-8118
3,"2623-2627 N Clark St, Chicago, IL ","$2,020 - 2,310",Studio - 3 Bed,844-833-4567
4,"850 N Lake Shore Dr, Chicago, IL ","$1,939 - 16,222",Studio - 3 Bed,312-462-1903
5,"2933 N Sheridan Rd, Chicago, IL ","$1,730 - 2,725",1-3 Bed,888-463-3217
6,"639-655 W Grace St, Chicago, IL ","$1,070 - 1,440",Studio - 2 Bed,773-596-9611
7,"1935 S Wabash Ave, Chicago, IL ","$1,588 - 3,340",1-3 Bed,855-248-5919
8,"2851 S Martin Luther King Dr, Chicago, IL ","$970 - 8,595",Studio - 3 Bed,844-827-1869
9,"555 W Kinzie St, Chicago, IL ","$1,639 - 3,694",Studio - 3 Bed,312-288-8972
10,"24 S Morgan St, Chicago, IL ","$2,055 - 6,562",1-3 Bed,844-411-7566
11,"1936 N Clark St, Chicago, IL ","$1,095 - 3,000",Studio - 2 Bed,312-546-4883
12,"1025 Addison St, Chicago, IL ","$1,980 - 4,510",Studio - 2 Bed,888-739-0068
13,"167 W Erie St, Chicago, IL ","$1,799 - 5,595",Studio - 3 Bed,844-249-5467
14,"833 N Clark St, Chicago, IL ","$1,810 - 15,395",Studio - 3 Bed,844-489-9630
15,"306 Jefferson St, Chicago, IL ","$1,801 - 4,910",Studio - 2 Bed,844-443-8919
16,"65 E Scott St, Chicago, IL ","$1,400 - 2,500",Studio - 2 Bed,312-638-2436
17,"860 N Dewitt Pl, Chicago, IL ","$1,560 - 2,615",Studio - 2 Bed,844-772-4370
18,"200 E Illinois St, Chicago, IL ","$2,005 - 10,325",Studio - 3 Bed,773-273-6395
19,"2300 S Michigan Ave, Chicago, IL ","$1,520 - 2,705",1-2 Bed,312-646-4878
20,"420 E Ohio St, Chicago, IL ","$1,740 - 4,320",Studio - 3 Bed,888-380-0393
21,"1340 N Astor St, Chicago, IL ","$1,850 - 2,800",Studio - 2 Bed,866-359-3415
22,"5140 S Hyde Park Blvd, Chicago, IL ","$1,616 - 3,459",1-3 Bed,773-432-4830
23,"71 W Hubbard St, Chicago, IL ","$1,832 - 9,669",Studio - 3 Bed,312-219-9513
24,"5105 S Harper Ave, Chicago, IL ","$1,995 - 5,531",1-3 Bed,773-313-3660
25,"765 W Adams St, Chicago, IL ","$1,809 - 7,825",Studio - 3 Bed,773-675-1174
