,Address,Price,Beds,Contact
0,10 Apartments in Chicago ,"$2,050 - 14,435",Studio - 3 Bed,
1,"930 W Altgeld St, Chicago, IL ","$2,050 - 14,435",Studio - 3 Bed,
2,"5441 NE NEast River Rd, Chicago, IL ","$1,065 - 2,590",Studio - 4 Bed,(866) 794-5357
3,"2 W Delaware Pl, Chicago, IL ","$3,548 - 10,551",1-5 Bed,
4,"1457 N Halsted St, Chicago, IL ","$2,474 - 3,895",Studio - 2 Bed,
5,"808 S Michigan Ave, Chicago, IL ","$1,528 - 39,671",Studio - 4 Bed,
6,255-3461 Email One Chicago 14 ,"$2,259 - 10,680",Studio - 3 Bed,(312) 585-7552
7,"5035 S East End Ave, Chicago, IL ","$1,475 - 3,632",Studio - 4 Bed,
8,"808 W Van Buren St, Chicago, IL ","$2,027 - 3,860",1-2 Bed,
9,"1407 S Michigan Ave, Chicago, IL ","$1,745 - 3,800",Studio - 2 Bed,
10,"1350 N Lake Shore Dr, Chicago, IL ","$1,528 - 8,340",Studio - 2 Bed,(844) 243-2716
11,"1164-1212 W Madison St, Chicago, IL ","$1,922 - 4,546",Studio - 2 Bed,
12,"500 N Lake Shore Dr, Chicago, IL ","$2,100 - 8,500",Studio - 3 Bed,
13,"451 E Grand Ave, Chicago, IL ","$3,500 - 23,625",1-4 Bed,
14,"5500 S Shore Dr, Chicago, IL ","$898 - 4,178",Studio - 2 Bed,(773) 966-2217
15,"833 W Buena Ave, Chicago, IL ","$1,235 - 1,900",1-3 Bed,(844) 812-0763
16,"1 E Delaware Pl, Chicago, IL ","$1,965 - 5,217",Studio - 2 Bed,(833) 308-4153
17,308-4153 Email EnV Chicago 161,"$2,577 - 10,294",Studio - 2 Bed,(844) 892-1659
18,"1140 N Lasalle St, Chicago, IL ","$1,083 - 1,680",Studio - 1 Bed,(844) 450-8749
19,"220 E Illinois St, Chicago, IL ","$2,759 - 8,172",Studio - 3 Bed,(844) 596-1422
20,"8 W Chestnut St, Chicago, IL ","$2,200 - 2,964",1-2 Bed,(312) 646-4941
21,"504 N Green St, Chicago, IL ","$1,708 - 6,386",Studio - 3 Bed,(312) 964-3768
22,"910 W Huron St, Chicago, IL ","$1,905 - 4,945",Studio - 4 Bed,
23,"333 E Ontario St, Chicago, IL ","$1,421 - 4,428",Studio - 3 Bed,(877) 234-9106
24,"400 N McClurg Ct, Chicago, IL ","$1,837 - 4,989",Studio - 2 Bed,(844) 482-6861
