,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago  6,"$2,021 - $4,082",Studio - 2 Br,866-958-8596
1,1 W Superior St Chicago  6,"$1,732 - $4,114",Studio - 2 Br,312-219-9516
2,200 E Illinois St Chicago  6,"$2,192 - $12,878",Studio - 3 Br,773-273-6395
3,625 W Division St Chicago  6,"$1,825 - $3,700",Studio - 2 Br,844-525-6919
4,707 N Wells St Chicago  6,"$2,760 - $5,621",1-3 Br,844-837-3913
5,601 W Jackson Blvd Chicago  6,"$1,420 - $4,316",Studio - 2 Br,844-443-8919
6,400 E South Water St Chicago  6,"$1,728 - $4,595",Studio - 2 Br,866-599-7868
7,360 E South Water St Chicago  6,"$1,624 - $4,228",Studio - 2 Br,312-288-8069
8,343 W Wolf Point Plz Chicago  6,"$1,831 - $10,900",Studio - 3 Br,844-811-0188
9,225 N Columbus Dr Chicago  6,"$1,654 - $5,109",Studio - 2 Br,866-933-3491
10,345 E Wacker Dr Chicago  6,"$1,701 - $3,542",Studio - 3 Br,773-904-9571
11,555 W Kinzie St Chicago  6,"$1,560 - $4,612",Studio - 3 Br,312-288-8972
12,123 N Des Plaines St Chicago  6,"$2,061 - $4,537",Studio - 3 Br,312-957-4484
13,5140 S Hyde Park Blvd Chicago  6,"$1,399 - $3,969",1-3 Br,773-432-4830
14,500 N Lake Shore Dr Chicago  6,"$2,015 - $4,085",Studio - 2 Br,312-548-6742
15,200 E Chestnut St Chicago  6,"$1,198 - $9,919",Studio - 2 Br,708-315-6519
16,71 W Hubbard St Chicago  6,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
17,850 S Clark St Chicago  6,"$1,788 - $3,555",Studio - 2 Br,312-462-1938
18,555 W Madison St Chicago  6,"$1,385 - $4,065",Studio - 2 Br,888-692-0211
19,8 W Chestnut St Chicago  6,"$1,575 - $2,709",1-2 Br,312-646-4941
20,1350 N Lake Shore Dr Chicago  6,"$1,367 - $3,078",Studio - 2 Br,312-462-0403
21,1130 S Michigan Ave Chicago  6,"$1,366 - $3,681",Studio - 2 Br,866-610-8317
22,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
23,910 W Huron St Chicago  6,"$1,880 - $3,855",Studio - 4 Br,844-741-2982
