,Address,Price,Beds,Contact
0,"930 W Altgeld St, Chicago, IL ","$2,050 - 14,435",Studio - 3 Bed,
1,"5441 NE NEast River Rd, Chicago, IL ","$1,065 - 2,590",Studio - 4 Bed,(866) 794-5357
2,"2 W Delaware Pl, Chicago, IL ","$3,548 - 10,551",1-5 Bed,
3,"1457 N Halsted St, Chicago, IL ","$2,474 - 3,895",Studio - 2 Bed,
4,"808 S Michigan Ave, Chicago, IL ","$1,528 - 39,671",Studio - 4 Bed,
5,"14 W Superior St, Chicago, IL ","$2,259 - 10,680",Studio - 3 Bed,(312) 585-7552
6,"5035 S East End Ave, Chicago, IL ","$1,475 - 3,632",Studio - 4 Bed,
7,"808 W Van Buren St, Chicago, IL ","$2,027 - 3,860",1-2 Bed,
8,"1407 S Michigan Ave, Chicago, IL ","$1,745 - 3,800",Studio - 2 Bed,
9,"1350 N Lake Shore Dr, Chicago, IL ","$1,528 - 8,340",Studio - 2 Bed,(844) 243-2716
10,"500 N Lake Shore Dr, Chicago, IL ","$2,100 - 8,500",Studio - 3 Bed,
11,"451 E Grand Ave, Chicago, IL ","$3,500 - 23,625",1-4 Bed,
12,"5500 S Shore Dr, Chicago, IL ","$898 - 4,178",Studio - 2 Bed,(773) 966-2217
13,"833 W Buena Ave, Chicago, IL ","$1,235 - 1,900",1-3 Bed,(844) 812-0763
14,"1 E Delaware Pl, Chicago, IL ","$1,965 - 5,217",Studio - 2 Bed,(833) 308-4153
15,"161 W Kinzie St, Chicago, IL ","$2,577 - 10,294",Studio - 2 Bed,(844) 892-1659
16,"1140 N Lasalle St, Chicago, IL ","$1,083 - 1,680",Studio - 1 Bed,(844) 450-8749
17,"220 E Illinois St, Chicago, IL ","$2,759 - 8,172",Studio - 3 Bed,(844) 596-1422
18,"8 W Chestnut St, Chicago, IL ","$2,200 - 2,964",1-2 Bed,(312) 646-4941
19,"504 N Green St, Chicago, IL ","$1,708 - 6,386",Studio - 3 Bed,(312) 964-3768
20,"910 W Huron St, Chicago, IL ","$1,905 - 4,945",Studio - 4 Bed,
21,"333 E Ontario St, Chicago, IL ","$1,421 - 4,428",Studio - 3 Bed,(877) 234-9106
22,"400 N McClurg Ct, Chicago, IL ","$1,837 - 4,989",Studio - 2 Bed,(844) 482-6861
