,Address,Price,Beds,Contact
0,"5441 NE NEast River Rd, Chicago, IL ","$970 - 2,510",Studio - 4 Bed,866-794-5357
1,"1457 N Halsted St, Chicago, IL ","$1,971 - 4,059",Studio - 2 Bed,
2,"808 S Michigan Ave, Chicago, IL ","$1,528 - 23,318",Studio - 4 Bed,844-255-3461
3,"633 W North Ave, Chicago, IL ","$2,580 - 4,600",Studio - 3 Bed,
4,"930 W Altgeld St, Chicago, IL ","$1,715 - 14,300",Studio - 3 Bed,
5,"2 W Delaware Pl, Chicago, IL ","$4,948 - 10,119",1-5 Bed,
6,"1407 S Michigan Ave, Chicago, IL ","$1,166 - 5,575",Studio - 3 Bed,844-207-9781
7,"5140 S Hyde Park Blvd, Chicago, IL ","$1,870 - 3,944",1-3 Bed,872-205-9319
8,"71 W Hubbard St, Chicago, IL ","$1,830 - 7,117",Studio - 3 Bed,
9,"1350 N Lake Shore Dr, Chicago, IL ","$1,236 - 7,433",Studio - 2 Bed,
10,"500 N Lake Shore Dr, Chicago, IL ","$1,700 - 8,800",Studio - 3 Bed,312-548-6742
11,"5500 S Shore Dr, Chicago, IL ","$1,110 - 2,956",Studio - 2 Bed,773-966-2217
12,"833 W Buena Ave, Chicago, IL ","$1,120 - 1,915",1-3 Bed,844-812-0763
13,"728 N Morgan St, Chicago, IL ","$1,686 - 5,629",Studio - 3 Bed,833-224-1028
14,"1 E Delaware Pl, Chicago, IL ","$2,265 - 5,195",Studio - 2 Bed,833-308-4153
15,"161 W Kinzie St, Chicago, IL ","$1,454 - 15,090",Studio - 2 Bed,844-892-1659
16,"1140 N Lasalle St, Chicago, IL ","$900 - 1,550",Studio - 1 Bed,844-450-8749
17,"220 E Illinois St, Chicago, IL ","$2,079 - 8,001",Studio - 3 Bed,844-596-1422
18,"8 W Chestnut St, Chicago, IL ","$1,784 - 2,360",Studio - 1 Bed,312-646-4941
19,"504 N Green St, Chicago, IL ","$1,538 - 3,080",Studio - 3 Bed,312-964-3768
20,"910 W Huron St, Chicago, IL ","$2,495 - 4,980",Studio - 4 Bed,
21,"400 N McClurg Ct, Chicago, IL ","$1,544 - 5,000",Studio - 2 Bed,
22,"1313 W Randolph St, Chicago, IL ","$1,513 - 3,303",Studio - 2 Bed,
