,Address,Price,Beds,Contact
0,1 W Superior St Chicago  6,"$1,592 - $4,140",Studio - 2 Br,312-219-9516
1,840 W Blackhawk St Chicago  6,"$1,992 - $4,433",Studio - 2 Br,866-958-8596
2,200 E Illinois St Chicago  6,"$2,195 - $12,878",Studio - 3 Br,773-273-6395
3,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
4,625 W Division St Chicago  6,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago  6,"$2,707 - $5,521",1-3 Br,844-837-3913
6,601 W Jackson Blvd Chicago  6,"$1,466 - $4,677",Studio - 2 Br,844-443-8919
7,420 E Ohio St Chicago  6,"$1,575 - $4,160",Studio - 3 Br,888-380-0393
8,400 E South Water St Chicago  6,"$1,771 - $4,632",Studio - 2 Br,866-599-7868
9,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
10,225 N Columbus Dr Chicago  6,"$1,998 - $5,355",Studio - 2 Br,866-933-3491
11,360 E South Water St Chicago  6,"$1,663 - $5,431",Studio - 2 Br,312-288-8069
12,345 E Wacker Dr Chicago  6,"$1,815 - $5,001",Studio - 3 Br,773-904-9571
13,730 W Couch Pl Chicago  6,"$1,750 - $5,000",Studio - 3 Br,844-294-8524
14,555 W Kinzie St Chicago  6,"$1,579 - $4,443",Studio - 3 Br,312-288-8972
15,123 N Des Plaines St Chicago  6,"$2,002 - $4,701",Studio - 3 Br,312-957-4484
16,500 N Lake Shore Dr Chicago  6,"$1,985 - $4,080",Studio - 2 Br,312-548-6742
17,5140 S Hyde Park Blvd Chicago  6,"$1,383 - $3,846",1-3 Br,773-432-4830
18,200 E Chestnut St Chicago  6,"$1,384 - $9,090",Studio - 2 Br,708-315-6519
19,850 S Clark St Chicago  6,"$1,749 - $3,391",Studio - 2 Br,312-462-1938
20,1890 Maple St Chicago  6,"$1,636 - $5,988",Studio - 3 Br,224-420-9126
21,555 W Madison St Chicago  6,"$1,420 - $4,815",Studio - 2 Br,888-692-0211
22,71 W Hubbard St Chicago  6,"$1,867 - $6,483",Studio - 3 Br,312-219-9513
23,1209 W Arthur Ave Chicago  6,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
